,Manual,Vectorized,Non Vectorized
10,0.0019054412841796875,0.0014929771423339844,0.0014684200286865234
45,0.01879715919494629,0.0036191940307617188,0.005904436111450195
80,0.0929725170135498,0.011050939559936523,0.0246889591217041
115,0.2784433364868164,0.029063940048217773,0.06398510932922363
150,0.5990877151489258,0.06789684295654297,0.14885735511779785
185,1.1512413024902344,0.11405467987060547,0.25524139404296875
220,1.9523649215698242,0.18286752700805664,0.4303312301635742
255,2.9180335998535156,0.28562068939208984,0.6688950061798096
290,4.321741580963135,0.41548609733581543,0.9647266864776611
325,6.060744762420654,0.6337611675262451,1.343362808227539
360,8.264754295349121,0.795454740524292,1.8451652526855469
395,10.863567113876343,1.066368818283081,2.4197983741760254
430,14.446567296981812,1.586256980895996,3.202423334121704
465,17.950788736343384,1.8512754440307617,4.084899425506592
500,22.79953646659851,2.1281087398529053,4.915628433227539
