imgs;Intel(R)_UHD_Graphics_620_[0x3ea0];NVIDIA_GeForce_MX130;total
0;0.5;0.5;
250;0.303704;0.696296;
500;0.2947;0.7053;
750;0.286101;0.713899;
1000;0.291499;0.708501;
1250;0.287061;0.712939;
1500;0.284327;0.715673;
1750;0.292255;0.707745;
2000;0.292246;0.707754;
2250;0.291431;0.708569;
2500;0.285496;0.714504;
2750;0.291615;0.708385;
3000;0.291224;0.708776;
3250;0.290433;0.709567;
3500;0.290329;0.709671;
3750;0.292008;0.707992;
4000;0.293982;0.706018;
4250;0.309088;0.690912;
4500;0.286262;0.713738;
4750;0.293126;0.706874;
5000;0.295412;0.704588;
