imgs;Intel(R)_UHD_Graphics_620_[0x3ea0];NVIDIA_GeForce_MX130;total
0;0.5;0.5;
1250;0.307186;0.692814;
2500;0.296801;0.703199;
3750;0.294236;0.705764;
5000;0.289218;0.710782;
