imgs;Intel(R)_UHD_Graphics_620_[0x3ea0];NVIDIA_GeForce_MX130;total
0;0.5;0.5;
500;0.302939;0.697061;
1000;0.292905;0.707095;
1500;0.295121;0.704879;
2000;0.288281;0.711719;
2500;0.293708;0.706292;
3000;0.288756;0.711244;
3500;0.277941;0.722059;
4000;0.292261;0.707739;
4500;0.288488;0.711512;
5000;0.290506;0.709494;
