imgs;Intel(R)_UHD_Graphics_620_[0x3ea0];NVIDIA_GeForce_MX130;total
0;0.5;0.5;
1750;0.314709;0.685291;
3500;0.314361;0.685639;
5000;0.310582;0.689418;
