imgs;Intel(R)_UHD_Graphics_620_[0x3ea0];NVIDIA_GeForce_MX130;total
0;0.5;0.5;
100;0.302737;0.697263;
200;0.316939;0.683061;
300;0.295887;0.704113;
400;0.313726;0.686274;
500;0.308547;0.691453;
600;0.332526;0.667474;
700;0.304291;0.695709;
800;0.31467;0.68533;
900;0.294918;0.705082;
1000;0.3027;0.6973;
1100;0.31764;0.68236;
1200;0.308375;0.691625;
1300;0.290555;0.709445;
1400;0.327208;0.672792;
1500;0.303908;0.696092;
1600;0.322011;0.677989;
1700;0.314752;0.685248;
1800;0.283532;0.716468;
1900;0.31136;0.68864;
2000;0.290429;0.709571;
2100;0.309593;0.690407;
2200;0.291196;0.708804;
2300;0.315185;0.684815;
2400;0.297525;0.702475;
2500;0.317375;0.682625;
2600;0.310887;0.689113;
2700;0.315036;0.684964;
2800;0.321715;0.678285;
2900;0.287504;0.712496;
3000;0.293999;0.706001;
3100;0.315193;0.684807;
3200;0.333963;0.666037;
3300;0.332967;0.667033;
3400;0.330745;0.669255;
3500;0.321215;0.678785;
3600;0.318034;0.681966;
3700;0.333079;0.666921;
3800;0.338258;0.661742;
3900;0.336761;0.663239;
4000;0.345285;0.654715;
4100;0.335236;0.664764;
4200;0.335281;0.664719;
4300;0.340623;0.659377;
4400;0.327132;0.672868;
4500;0.322925;0.677075;
4600;0.330734;0.669266;
4700;0.318371;0.681629;
4800;0.324039;0.675961;
4900;0.312451;0.687549;
5000;0.306581;0.693419;
