imgs;Intel(R)_UHD_Graphics_620_[0x3ea0];NVIDIA_GeForce_MX130;total
0;0.5;0.5;
1000;0.322183;0.677817;
2000;0.305648;0.694352;
3000;0.308614;0.691386;
4000;0.304865;0.695135;
5000;0.312129;0.687871;
