imgs;Intel(R)_UHD_Graphics_620_[0x3ea0];NVIDIA_GeForce_MX130;total
0;0.5;0.5;
500;0.167263;0.832737;
1000;0.212266;0.787734;
1500;0.242469;0.757531;
2000;0.260168;0.739832;
2500;0.268502;0.731498;
3000;0.273084;0.726916;
3500;0.284184;0.715816;
4000;0.288906;0.711094;
4500;0.292043;0.707957;
5000;0.297765;0.702235;
