imgs;Intel(R)_UHD_Graphics_620_[0x3ea0];NVIDIA_GeForce_MX130;total
0;0.5;0.5;
250;0.240148;0.759852;
500;0.244002;0.755998;
750;0.242823;0.757177;
1000;0.240346;0.759654;
1250;0.215087;0.784913;
1500;0.221453;0.778547;
1750;0.261957;0.738043;
2000;0.214131;0.785869;
2250;0.269628;0.730372;
2500;0.259882;0.740118;
2750;0.281955;0.718045;
3000;0.287499;0.712501;
3250;0.282606;0.717394;
3500;0.292465;0.707535;
3750;0.299335;0.700665;
4000;0.299187;0.700813;
4250;0.297339;0.702661;
4500;0.30348;0.69652;
4750;0.302924;0.697076;
5000;0.312575;0.687425;
