imgs;Intel(R)_UHD_Graphics_620_[0x3ea0];NVIDIA_GeForce_MX130;total
0;0.5;0.5;
750;0.310387;0.689613;
1500;0.1564;0.8436;
2250;0.213815;0.786185;
3000;0.243127;0.756873;
3750;0.263292;0.736708;
4500;0.279284;0.720716;
5000;0.292339;0.707661;
