gpu_prop;Intel(R)_UHD_Graphics_620_[0x3ea0];NVIDIA_GeForce_MX130;total
0;0.513727;401.333;401.619;
0.05;53.3349;374.273;374.843;
0.1;89.4805;357.942;358.286;
0.15;126.522;339.637;339.968;
0.2;189.752;333.135;333.469;
0.25;229.305;300.987;301.293;
0.3;249.231;285.095;285.464;
0.35;309.753;271.084;310.048;
0.4;359.976;261.046;360.295;
0.45;381.192;231.25;381.498;
0.5;448.972;208.532;450.601;
0.55;441.721;187.702;442.088;
0.6;480.045;165.631;480.306;
0.65;550.084;146.644;550.314;
0.7;603.219;127.7;603.422;
0.75;623.767;111.332;623.963;
0.8;680.468;88.3497;680.702;
0.85;715.415;65.9602;715.647;
0.9;754.939;44.9536;755.184;
0.95;784.266;23.2645;784.481;
1;834.019;0.921538;834.232;
