gpu_prop;Intel(R)_UHD_Graphics_620_[0x3ea0];NVIDIA_GeForce_MX130;total
0;0.550566;591.465;591.822;
0.05;70.9273;559.744;560.255;
0.1;134.405;538.717;539.028;
0.15;191.449;512.768;513.235;
0.2;257.388;483.352;483.879;
0.25;337.925;451.833;452.143;
0.3;402.504;428.452;428.96;
0.35;481.672;398.015;481.844;
0.4;519.354;372.342;519.519;
0.45;575.966;341.769;576.255;
0.5;624.968;311.552;625.501;
0.55;698.788;284.151;699.006;
0.6;869.508;265.081;869.71;
0.65;931.385;226.718;931.686;
0.7;974.682;194.57;974.902;
0.75;1069.85;163.444;1070.09;
0.8;1051.02;130.735;1051.26;
0.85;1087.28;97.9703;1087.67;
0.9;1108.61;63.352;1108.86;
0.95;1216.06;32.3672;1216.29;
1;1276.19;0.755782;1276.45;
