gpu_prop;Intel(R)_UHD_Graphics_620_[0x3ea0];NVIDIA_GeForce_MX130;total
0;0.280024;342.458;342.758;
0.05;29.4342;333.391;333.821;
0.1;59.4855;316.57;316.85;
0.15;81.8115;293.048;293.432;
0.2;115.213;279.497;279.825;
0.25;126.441;270.992;271.343;
0.3;166.385;262.616;263.059;
0.35;196.944;230.718;231.067;
0.4;230.268;225.95;230.563;
0.45;242.737;215.917;242.951;
0.5;264.795;183.835;265.009;
0.55;295.428;169.065;295.724;
0.6;315.272;150.225;315.55;
0.65;338.705;136.748;338.932;
0.7;369.092;123.116;369.251;
0.75;390.626;104.774;390.836;
0.8;410.52;75.9251;410.754;
0.85;431.97;59.8588;432.243;
0.9;470.662;42.0709;470.888;
0.95;499.581;22.0048;499.775;
1;510.534;0.53825;510.875;
