gpu_prop;Intel(R)_UHD_Graphics_620_[0x3ea0];NVIDIA_GeForce_MX130;total
0;0.434548;261.754;262.083;
0.05;28.7278;251.845;252.364;
0.1;40.3087;240.673;240.915;
0.15;63.4295;221.672;222.032;
0.2;80.4209;214.224;214.457;
0.25;99.8615;204.531;204.834;
0.3;138.708;192.391;192.702;
0.35;151.94;177.983;178.389;
0.4;148.581;174.986;175.267;
0.45;176.449;169.743;176.759;
0.5;198.357;146.901;198.672;
0.55;216.571;129.291;216.867;
0.6;236.905;127.665;237.209;
0.65;258.922;106.742;259.277;
0.7;281.713;96.3318;282.016;
0.75;299.46;74.7259;299.674;
0.8;307.98;61.1927;308.182;
0.85;333.608;47.3538;333.985;
0.9;326.736;30.917;327.045;
0.95;365.787;15.9666;365.968;
1;392.657;1.0812;393.069;
