gpu_prop;Intel(R)_UHD_Graphics_620_[0x3ea0];NVIDIA_GeForce_MX130;total
0;1.64854;90.9074;94.7729;
0.05;19.1303;87.9581;88.6015;
0.1;15.5948;79.4719;79.7513;
0.15;26.6899;86.6087;87.4892;
0.2;30.1393;75.1654;75.5084;
0.25;34.2096;70.0982;70.4608;
0.3;47.905;70.1188;70.876;
0.35;50.2587;63.4689;63.8652;
0.4;58.8297;59.1268;59.5039;
0.45;61.8458;56.5284;62.0561;
0.5;69.6731;52.8056;69.9627;
0.55;75.994;52.7602;76.389;
0.6;85.0016;44.8672;85.2724;
0.65;86.2113;36.7527;86.3917;
0.7;93.2616;32.3588;93.5495;
0.75;94.6796;29.8205;95.0383;
0.8;102.732;19.3829;102.945;
0.85;111.429;16.6606;111.747;
0.9;116.967;12.0237;117.297;
0.95;124.703;5.29857;124.971;
1;121.6;0.593785;121.824;
