gpu_prop;Intel(R)_UHD_Graphics_620_[0x3ea0];NVIDIA_GeForce_MX130;total
0;0.296092;173.156;173.499;
0.05;19.9844;177.403;177.981;
0.1;28.1795;160.712;161.021;
0.15;43.1627;152.142;152.504;
0.2;54.6484;145.879;146.155;
0.25;66.372;133.171;133.411;
0.3;80.5265;125.006;125.306;
0.35;92.1128;121.368;121.674;
0.4;113.155;110.828;113.434;
0.45;121.253;103.965;121.431;
0.5;140.295;97.8426;140.617;
0.55;141.552;88.3432;141.821;
0.6;146.319;77.2645;146.584;
0.65;172.939;68.9207;173.148;
0.7;184.38;61.1869;184.704;
0.75;187.541;49.5559;187.89;
0.8;209.498;38.4536;209.702;
0.85;220.725;33.0978;220.927;
0.9;232.045;25.6026;232.26;
0.95;235.71;10.9364;235.954;
1;256.176;0.373338;256.403;
