imgs;Intel(R)_UHD_Graphics_620_[0x3ea0];NVIDIA_GeForce_MX130;total
0;0.5;0.5;
500;0.429099;0.570901;
1000;0.388033;0.611967;
1500;0.3766;0.6234;
2000;0.446217;0.553783;
2500;0.47409;0.52591;
3000;0.485855;0.514145;
3500;0.502186;0.497814;
4000;0.494458;0.505542;
4500;0.503201;0.496799;
5000;0.494791;0.505209;
