gpu_prop;Intel(R)_UHD_Graphics_620_[0x3ea0];NVIDIA_GeForce_MX130;total
0;0.638423;200.84;201.176;
0.05;45.7289;196.42;196.677;
0.1;57.6264;184.393;184.678;
0.15;87.9987;177.429;177.751;
0.2;111.467;169.625;169.998;
0.25;165.38;166.354;166.798;
0.3;154.349;155.219;155.559;
0.35;171.416;144.459;171.617;
0.4;197.136;133.964;197.318;
0.45;238.085;126.148;238.387;
0.5;224.899;112.867;225.148;
0.55;252.07;100.136;252.283;
0.6;259.241;91.0177;259.527;
0.65;278.767;80.2571;279.006;
0.7;300.63;69.6207;300.875;
0.75;331.982;56.1473;332.206;
0.8;330.835;46.2396;331.114;
0.85;350.512;33.4098;350.784;
0.9;376.64;23.2957;376.914;
0.95;374.537;11.9995;374.727;
1;398.034;0.6477;398.241;
